Product,FOB_Price,Pack_Size,Origin,Landed_Cost_Est,Weekly_Vol,Est_Annual_Spend,Target_Savings_30pct
"ONION, GRN ICELESS 4 / 1doz 48 CT",25.0,,mex,25.0,352.0,457600.0,137280.0
"APPLE, GALA 138 CT ",19.94,XFCY CA,Wash,27.0,217.0,304668.0,91400.4
"ONION, RED MEDIUM",21.5,,ca. - s,21.5,160.0,178880.0,53664.0
"ONION, YELLOW JUMBO (U.S.)",21.0,,ca. - s,21.0,97.0,105924.0,31777.199999999997
"GARLIC PEELED, 4/5# BAG (GILROY)",65.0,,ca. - s,65.0,30.0,101400.0,30420.0
"APPLE, FUJI 88 CT ",33.0,XFCY CA,Wash,33.0,49.0,84084.0,25225.2
"ONION, YELLOW SUPER COLOSSAL 6"" DIA ",22.0,,ca. - s,22.0,40.0,45760.0,13728.0
"APPLE, FUJI 56 CT ",30.5,XFCY CA,Wash,30.5,21.0,33306.0,9991.8
"ONION, WHITE MEDIUM",30.0,AIR,ca. - s,30.0,20.0,31200.0,9360.0
"ONION, LEEK",43.5,,mex,43.5,3.0,6786.0,2035.8
"APPLE, FUJI 88 CT",,U.S. #1,WXF,,,,
"APPLE, FUJI 138 CT ",28.0,U.S. #1,Wash,28.0,,,
"APPLE, FUJI 12/3#",23.0,XFCY CA,Wash,35.0,,,
"APPLE, GALA 88 CT",40.0,XFCY CA,Wash,40.0,,,
"APPLE, GALA 113 CT",,XFCY CA,Wash,,,,
"APPLE, GALA 12/3#",18.5,XFCY CA,Wash,36.0,,,
"APPLE, GLDN DEL 88 CT",53.0,XFCY CA,Wash,53.0,,,
"BANANA, DOLE",,,-,,,,
"GARLIC, SUPER COLOSSAL",92.0,,-,92.0,,,
"GARLIC, JUMBO CELLO 60/5 PK (CHINESE)",83.0,,-,83.0,,,
"ONION, PEARL WHITE 12/10 OZ",33.5,,ca. - s,33.5,,,
"ONION, YELLOW MEDIUM (U.S.)",21.0,,ca. - s,21.0,,,
"ONION, YELLOW SWEET LOOSE 40#",23.5,,ca. - s,23.5,,,
"ONION, YELLOW SWEET MESH 18/2#",31.0,,ca. - s,31.0,,,
"POTATO, FINGERLING GOLDEN",38.5,,ca. - s,38.5,,,
"POTATO, MARBLE ",81.25,,ca. - s,81.25,,,
"POTATO, RED ""A""",38.0,,ca. - s,38.0,,,
"POTATO, RED 16/3# CELLO",39.0,,ca. - s,39.0,,,
"POTATO, RED ""B""",40.0,,ca. - s,40.0,,,
"POTATO, RED ""C"" (WHOLE BABY) (CHATS)",55.0,,ca. - s,55.0,,,
"POTATO, RUSSET 50 CT",29.5,,Wash,29.5,,,
"POTATO, RUSSET 60 CT",26.0,,Wash,26.0,,,
"POTATO, RUSSET 70 CT",25.0,,Wash,25.0,,,
"POTATO, RUSSET 80 CT",25.0,,Wash,25.0,,,
"POTATO, RUSSET 90 CT",25.0,,Wash,25.0,,,
"POTATO, RUSSET 110 CT",24.0,,Wash,24.0,,,
"POTATO, RUSSET 5/10#",24.0,,Wash,24.0,,,
"POTATO, RUSSET 10/5#",24.0,,Wash,24.0,,,
"POTATO, SWEET WHITE (MEDIUM)",54.5,,ca. - s,54.5,,,
"POTATO, YELLOW / YUKON A",42.0,,ca. - s,42.0,,,
"POTATO, YELLOW / YUKON 16/3# CELLO",40.0,,ca. - s,40.0,,,
"OG POTATO, CELLO 10/5#",39.0,,North,39.0,,,
OG POTATO GOLD CELLO          10/5# BALE,63.0,,North,63.0,,,
