Description,FOB_Price,Pack_Size,Est_Landed_Cost
"APPLE, FUJI 56 CT ",30.5,XFCY CA,$30.50
"APPLE, FUJI 88 CT ",33.0,XFCY CA,$33.00
"APPLE, FUJI 88 CT",,U.S. #1,
"APPLE, FUJI 138 CT ",28.0,U.S. #1,$28.00
"APPLE, FUJI 12/3#",23.0,XFCY CA,$35.00
"APPLE, GALA 88 CT",40.0,XFCY CA,$40.00
"APPLE, GALA 113 CT",,XFCY CA,
"APPLE, GALA 138 CT ",19.94,XFCY CA,$27.00
"APPLE, GALA 12/3#",18.5,XFCY CA,$36.00
"APPLE, GLDN DEL 88 CT",53.0,XFCY CA,$53.00
"BANANA, DOLE",,,
"GARLIC, SUPER COLOSSAL",92.0,,$92.00
"GARLIC, JUMBO CELLO 60/5 PK (CHINESE)",83.0,,$83.00
"GARLIC PEELED, 4/5# BAG (GILROY)",65.0,,$65.00
"ONION, GRN ICELESS 4 / 1doz 48 CT",25.0,,$25.00
"ONION, LEEK",43.5,,$43.50
"ONION, PEARL WHITE 12/10 OZ",33.5,,$33.50
"ONION, RED MEDIUM",21.5,,$21.50
"ONION, WHITE MEDIUM",30.0,AIR,$30.00
"ONION, YELLOW SUPER COLOSSAL 6"" DIA ",22.0,,$22.00
"ONION, YELLOW JUMBO (U.S.)",21.0,,$21.00
"ONION, YELLOW MEDIUM (U.S.)",21.0,,$21.00
"ONION, YELLOW SWEET LOOSE 40#",23.5,,$23.50
"ONION, YELLOW SWEET MESH 18/2#",31.0,,$31.00
"POTATO, FINGERLING GOLDEN",38.5,,$38.50
"POTATO, MARBLE ",81.25,,$81.25
"POTATO, RED ""A""",38.0,,$38.00
"POTATO, RED 16/3# CELLO",39.0,,$39.00
"POTATO, RED ""B""",40.0,,$40.00
"POTATO, RED ""C"" (WHOLE BABY) (CHATS)",55.0,,$55.00
"POTATO, RUSSET 50 CT",29.5,,$29.50
"POTATO, RUSSET 60 CT",26.0,,$26.00
"POTATO, RUSSET 70 CT",25.0,,$25.00
"POTATO, RUSSET 80 CT",25.0,,$25.00
"POTATO, RUSSET 90 CT",25.0,,$25.00
"POTATO, RUSSET 110 CT",24.0,,$24.00
"POTATO, RUSSET 5/10#",24.0,,$24.00
"POTATO, RUSSET 10/5#",24.0,,$24.00
"POTATO, SWEET WHITE (MEDIUM)",54.5,,$54.50
"POTATO, YELLOW / YUKON A",42.0,,$42.00
"POTATO, YELLOW / YUKON 16/3# CELLO",40.0,,$40.00
"OG POTATO, CELLO 10/5#",39.0,,$39.00
OG POTATO GOLD CELLO          10/5# BALE,63.0,,$63.00
