Product,Current_FOB,Pack_Size,Origin,Current_Landed_Cost,Weekly_Vol,Target_Supplier,Target_Quote_Price,Potential_Savings,Status
"ONION, GRN ICELESS 4 / 1doz 48 CT",25.0,,mex,25.0,352.0,,,,Needs Quote
"APPLE, GALA 138 CT ",19.94,XFCY CA,Wash,27.0,217.0,,,,Needs Quote
"ONION, RED MEDIUM",21.5,,ca. - s,21.5,160.0,,,,Needs Quote
"ONION, YELLOW JUMBO (U.S.)",21.0,,ca. - s,21.0,97.0,,,,Needs Quote
"APPLE, FUJI 88 CT ",33.0,XFCY CA,Wash,33.0,49.0,,,,Needs Quote
"ONION, YELLOW SUPER COLOSSAL 6"" DIA ",22.0,,ca. - s,22.0,40.0,,,,Needs Quote
"GARLIC PEELED, 4/5# BAG (GILROY)",65.0,,ca. - s,65.0,30.0,,,,Needs Quote
"APPLE, FUJI 56 CT ",30.5,XFCY CA,Wash,30.5,21.0,,,,Needs Quote
"ONION, WHITE MEDIUM",30.0,AIR,ca. - s,30.0,20.0,,,,Needs Quote
"ONION, LEEK",43.5,,mex,43.5,3.0,,,,Needs Quote
"APPLE, FUJI 88 CT",,U.S. #1,WXF,,,,,,Needs Quote
"APPLE, FUJI 138 CT ",28.0,U.S. #1,Wash,28.0,,,,,Needs Quote
"APPLE, FUJI 12/3#",23.0,XFCY CA,Wash,35.0,,,,,Needs Quote
"APPLE, GALA 88 CT",40.0,XFCY CA,Wash,40.0,,,,,Needs Quote
"APPLE, GALA 113 CT",,XFCY CA,Wash,,,,,,Needs Quote
"APPLE, GALA 12/3#",18.5,XFCY CA,Wash,36.0,,,,,Needs Quote
"APPLE, GLDN DEL 88 CT",53.0,XFCY CA,Wash,53.0,,,,,Needs Quote
"BANANA, DOLE",,,-,,,,,,Needs Quote
"GARLIC, SUPER COLOSSAL",92.0,,-,92.0,,,,,Needs Quote
"GARLIC, JUMBO CELLO 60/5 PK (CHINESE)",83.0,,-,83.0,,,,,Needs Quote
"ONION, PEARL WHITE 12/10 OZ",33.5,,ca. - s,33.5,,,,,Needs Quote
"ONION, YELLOW MEDIUM (U.S.)",21.0,,ca. - s,21.0,,,,,Needs Quote
"ONION, YELLOW SWEET LOOSE 40#",23.5,,ca. - s,23.5,,,,,Needs Quote
"ONION, YELLOW SWEET MESH 18/2#",31.0,,ca. - s,31.0,,,,,Needs Quote
"POTATO, FINGERLING GOLDEN",38.5,,ca. - s,38.5,,,,,Needs Quote
"POTATO, MARBLE ",81.25,,ca. - s,81.25,,,,,Needs Quote
"POTATO, RED ""A""",38.0,,ca. - s,38.0,,,,,Needs Quote
"POTATO, RED 16/3# CELLO",39.0,,ca. - s,39.0,,,,,Needs Quote
"POTATO, RED ""B""",40.0,,ca. - s,40.0,,,,,Needs Quote
"POTATO, RED ""C"" (WHOLE BABY) (CHATS)",55.0,,ca. - s,55.0,,,,,Needs Quote
"POTATO, RUSSET 50 CT",29.5,,Wash,29.5,,,,,Needs Quote
"POTATO, RUSSET 60 CT",26.0,,Wash,26.0,,,,,Needs Quote
"POTATO, RUSSET 70 CT",25.0,,Wash,25.0,,,,,Needs Quote
"POTATO, RUSSET 80 CT",25.0,,Wash,25.0,,,,,Needs Quote
"POTATO, RUSSET 90 CT",25.0,,Wash,25.0,,,,,Needs Quote
"POTATO, RUSSET 110 CT",24.0,,Wash,24.0,,,,,Needs Quote
"POTATO, RUSSET 5/10#",24.0,,Wash,24.0,,,,,Needs Quote
"POTATO, RUSSET 10/5#",24.0,,Wash,24.0,,,,,Needs Quote
"POTATO, SWEET WHITE (MEDIUM)",54.5,,ca. - s,54.5,,,,,Needs Quote
"POTATO, YELLOW / YUKON A",42.0,,ca. - s,42.0,,,,,Needs Quote
"POTATO, YELLOW / YUKON 16/3# CELLO",40.0,,ca. - s,40.0,,,,,Needs Quote
"OG POTATO, CELLO 10/5#",39.0,,North,39.0,,,,,Needs Quote
OG POTATO GOLD CELLO          10/5# BALE,63.0,,North,63.0,,,,,Needs Quote
